INFO 2013-04-19 01:56:22,376 models 3532 140304818218752 Success for hour 49
INFO 2013-04-19 01:56:22,378 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results50.htm
INFO 2013-04-19 01:56:22,439 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 50
INFO 2013-04-19 01:56:22,439 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:22,439 models 3532 140304818218752 No data for this hour (yet?): 50
INFO 2013-04-19 01:56:22,940 models 3532 140304818218752 Success for hour 50
INFO 2013-04-19 01:56:22,942 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results51.htm
INFO 2013-04-19 01:56:23,000 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 51
INFO 2013-04-19 01:56:23,000 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:23,000 models 3532 140304818218752 No data for this hour (yet?): 51
INFO 2013-04-19 01:56:23,501 models 3532 140304818218752 Success for hour 51
INFO 2013-04-19 01:56:23,502 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results52.htm
INFO 2013-04-19 01:56:23,554 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 52
INFO 2013-04-19 01:56:23,554 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:23,554 models 3532 140304818218752 No data for this hour (yet?): 52
INFO 2013-04-19 01:56:24,055 models 3532 140304818218752 Success for hour 52
INFO 2013-04-19 01:56:24,057 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results53.htm
INFO 2013-04-19 01:56:24,105 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 53
INFO 2013-04-19 01:56:24,105 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:24,105 models 3532 140304818218752 No data for this hour (yet?): 53
INFO 2013-04-19 01:56:24,606 models 3532 140304818218752 Success for hour 53
INFO 2013-04-19 01:56:24,608 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results54.htm
INFO 2013-04-19 01:56:25,414 models 3532 140304818218752 Success for hour 54
ERROR 2013-04-19 01:56:28,235 models 3532 140304818218752 Failed email notify for hour 54 for team name WWII. Found 0 scores.
INFO 2013-04-19 01:56:30,317 models 3532 140304818218752 Success for hours: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 31, 33, 34, 35, 38, 39, 40, 41, 42, 43, 44, 46, 47, 54]
INFO 2013-04-19 02:10:17,507 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:18,008 models 4574 140359092004608 Success for hour 1
INFO 2013-04-19 02:10:18,020 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:18,521 models 4574 140359092004608 Success for hour 2
INFO 2013-04-19 02:10:18,539 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:19,040 models 4574 140359092004608 Success for hour 3
INFO 2013-04-19 02:10:19,052 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:19,553 models 4574 140359092004608 Success for hour 4
INFO 2013-04-19 02:10:19,566 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:20,067 models 4574 140359092004608 Success for hour 5
INFO 2013-04-19 02:10:20,087 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:20,588 models 4574 140359092004608 Success for hour 6
INFO 2013-04-19 02:10:20,606 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:21,107 models 4574 140359092004608 Success for hour 7
INFO 2013-04-19 02:10:21,128 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:21,629 models 4574 140359092004608 Success for hour 8
INFO 2013-04-19 02:10:21,648 models 4574 140359092004608 Already in DB
